event_name,start_date,end_date,location,category
Lễ hội Hương Quế Trà Leng lần thứ I,2026-07-04,2026-07-05,Xã Trà Leng,Festival
Lễ hội Việt Nam - Nhật Bản,2026-07-09,2026-07-12,Công viên Biển Đông,Festival
Lễ hội Tận hưởng Đà Nẵng 2026,2026-07-22,2026-07-26,Thành phố Đà Nẵng,Festival
Lễ hội Văn hóa - Du lịch Địa đạo Kỳ Anh - Bãi Sậy Sông Đầm,2026-07-24,2026-07-30,"Địa đạo Kỳ Anh, Bãi Sậy Sông Đầm",Culture
AQUAMAN Vietnam 2026,2026-07-25,2026-07-26,Hoiana Resort & Golf,Sport
Lễ hội Sâm Ngọc Linh lần thứ VIII,2026-08-01,2026-08-03,Xã Nam Trà My,Festival
Giải VnExpress Marathon Da Nang Midnight 2026,2026-08,2026-08,Đà Nẵng,Sport
Lễ hội Việt Nam - Hàn Quốc,2026-08,2026-08,Công viên Biển Đông,Festival
Lễ hội Mùa Thu và Đèn lồng,2026-08,2026-09,Sun World Bà Nà Hills,Festival
Lễ hội Vu Lan,2026-08,2026-08,Hội An,Culture
Lễ hội Trăng rằm,2026-09,2026-09,Phố cổ Hội An,Festival
Chào mừng Ngày Du lịch Thế giới 2026,2026-09-27,2026-09-27,Phường Hội An,Tourism
Lễ hội Thuyền SUP Quốc tế,2026-09,2026-09,Sông Hàn và hai bên bờ,Sport
Đi bộ gây quỹ Blue Dragon,2026-09,2026-09,Bãi biển Bắc Mỹ An - Mỹ Khê,Sport
Tuần lễ Nghệ thuật sáng tạo Đà Nẵng 2026,2026-09,2026-09,Phường Hội An,Culture
Lễ hội Đèn lồng Quốc tế Đà Nẵng 2026,2026-09,2026-09,"Các phường Hội An, Hội An Đông, Hội An Tây",Festival
Giải Pickleball PPA Tour Asia VN Cup 2026,2026-09,2026-10,Cung Thể thao Tiên Sơn và Làng Thể thao Tuyên Sơn,Sport
Lễ cúng Thần Núi cộng đồng dân tộc Xơ Đăng,2026-11,2026-11,Xã Trà Linh,Culture
Lễ thắp sáng cây thông Giáng sinh,2026-12-24,2026-12-24,Pullman Danang Beach Resort,Festival
Lễ hội Giáng sinh và Chào năm mới,2026-12,2027-01,Đà Nẵng,Festival
